athlete,category,data_quality,file,hrv_windows,intensity_factor,normalized_power,subtype,tss
ADRIAN,HIIT,0.94,tp-4641974.2026-02-22-11-24-17-122Z.GarminPing.AAAAAGma52Bxl-dF.FIT,978,0.825,221.5,hiit_unspecified,189.4
ADRIAN,FREE,0.7,tp-4641974.2026-02-27-12-50-37-888Z.GarminPing.AAAAAGmhkx3GhTMJ.FIT,883,0.789,211.8,race,154.7
ADRIAN,FREE,0.82,tp-4641974.2026-03-28-16-20-53-202Z.GarminPing.AAAAAGnH_-RuMOnI.FIT,2429,0.809,217.1,race,443.3
ADRIAN,HIIT,0.94,tp-4641974.2026-04-12-12-44-36-985Z.GarminPing.AAAAAGnbk7RSKoJo.FIT,1648,0.901,241.9,hiit_unspecified,374.0
ADRIAN,FREE,0.49,tp-4641974.2026-04-19-17-13-04-106Z.GarminPing.AAAAAGnlDR_f38oY.FIT,12992,0.527,141.6,race,1626.9
ADRIAN,STEADY,1.0,zwift-activity-2050355589627772928.fit,,0.981,263.5,threshold_continuous,123.5
ADRIAN,STEADY,1.0,zwift-activity-2055432007558627360.fit,,1.022,274.4,threshold_continuous,112.4
ADRIAN,STEADY,1.0,zwift-activity-2060501901014728752.fit,,1.01,271.3,threshold_continuous,110.6
ADRIAN,STEADY,1.0,zwift-activity-2070515627725946912.fit,,1.006,270.2,threshold_continuous,93.3
ADRIAN,TEST,0.88,zwift-activity-2075446336542507008.fit,,0.814,218.5,sprint_set,101.8
ADRIAN,UNCLASSIFIED,1.0,zwift-activity-2106571296509820944.fit,,0.851,228.4,unknown,145.6
Adriano,,0.73,Karoo-Afternoon_Ride-2025-10-08-1222.fit,,,,,
Adriano,,0.73,Karoo-Afternoon_Ride-2025-11-01-1509.fit,,,,,
Adriano,FREE,0.82,Karoo-Afternoon_Ride-2025-11-12-1216.fit,,0.899,193.1,race,147.0
Adriano,,0.73,Karoo-Afternoon_Ride-2025-11-19-1214.fit,,,,,
Adriano,FREE,0.76,Karoo-Afternoon_Ride-2025-11-23-1247.fit,,0.813,174.6,race,213.4
Adriano,,0.61,Karoo-Afternoon_Ride-2025-11-26-1459.fit,,,,,
Adriano,FREE,0.76,Karoo-Afternoon_Ride-2025-11-29-1226.fit,,0.793,170.4,race,250.3
Adriano,,0.73,Karoo-Afternoon_Ride-2025-12-11-1227.fit,,,,,
Adriano,FREE,0.7,Karoo-Afternoon_Ride-2025-12-13-1431.fit,,0.689,147.9,race,93.5
Adriano,FREE,0.82,Karoo-Afternoon_Ride-2025-12-16-1341.fit,,0.885,190.1,race,106.3
Adriano,FREE,0.82,Karoo-Afternoon_Ride-2025-12-22-1211.fit,,0.858,184.3,race,145.0
Adriano,,0.73,Karoo-Afternoon_Ride-2025-12-27-1251.fit,,,,,
Adriano,FREE,0.82,Karoo-Afternoon_Ride-2026-01-03-1218.fit,,0.852,183.0,race,159.4
Adriano,,0.73,Karoo-Afternoon_Ride-2026-01-07-1433.fit,,,,,
Adriano,FREE,0.76,Karoo-Afternoon_Ride-2026-01-17-1223.fit,,0.808,173.7,race,222.7
Adriano,,0.73,Karoo-Afternoon_Ride-2026-01-21-1307.fit,,,,,
Adriano,FREE,0.82,Karoo-Afternoon_Ride-2026-01-23-1258.fit,,0.828,177.9,race,165.1
Adriano,FREE,0.82,Karoo-Afternoon_Ride-2026-01-31-1424.fit,,0.887,190.5,race,219.7
Adriano,,0.67,Karoo-Afternoon_Ride-2026-02-02-1233.fit,,,,,
Adriano,UNCLASSIFIED,0.88,Karoo-Afternoon_Ride-2026-03-16-1228.fit,,0.684,147.0,unknown,78.0
Adriano,FREE,0.76,Karoo-Afternoon_Ride-2026-04-26-1238.fit,,0.784,168.5,race,160.8
Adriano,FREE,0.76,Karoo-Evening_Ride-2025-10-18-1615.fit,,0.85,182.6,race,182.6
Adriano,FREE,0.82,Karoo-Evening_Ride-2026-05-02-1739.fit,,0.872,187.3,race,140.9
Adriano,FREE,0.7,Karoo-Morning_Ride-2025-10-11-0822.fit,,0.719,154.5,race,297.5
Adriano,,0.61,Karoo-Morning_Ride-2025-10-26-1044.fit,,,,,
Adriano,,0.73,Karoo-Morning_Ride-2025-10-29-1151.fit,,,,,
Adriano,FREE,0.82,Karoo-Morning_Ride-2025-11-15-1121.fit,,0.854,183.4,race,159.2
Adriano,FREE,0.7,Karoo-Morning_Ride-2025-12-31-0913.fit,,0.764,164.2,race,203.9
Adriano,FREE,0.7,Karoo-Morning_Ride-2026-04-06-1031.fit,,0.727,156.1,race,136.5
Adriano,FREE,0.49,Karoo-Morning_Ride-2026-04-12-1129.fit,,0.696,149.6,race,219.4
Adriano,FREE,0.7,Karoo-Morning_Ride-2026-04-19-0835.fit,,0.759,163.1,race,178.5
Alessio,TEST,1.0,22337073556_ACTIVITY.fit,,1.013,218.1,mixed_test,154.6
Alessio,TEST,1.0,22499265976_ACTIVITY.fit,,1.009,217.3,mixed_test,221.2
Alessio,TEST,1.0,22569469204_ACTIVITY.fit,,1.039,223.8,mixed_test,185.4
Alessio,TEST,1.0,22656339374_ACTIVITY.fit,,1.013,218.1,mixed_test,199.4
Alessio,TEST,0.76,22717059750_ACTIVITY.fit,,0.843,181.4,mixed_test,149.1
Alessio,FREE,0.7,22722765342_ACTIVITY.fit,,0.852,183.5,race,206.9
LELE,TEST,0.82,2026-03-21-08-25-47.fit,,0.769,173.0,mixed_test,231.6
LELE,FREE,0.61,2026-03-23-18-07-40.fit,,0.47,105.7,race,37.9
LELE,FREE,0.7,2026-03-27-08-44-16.fit,,0.796,179.1,race,296.1
LELE,FREE,0.49,2026-03-28-14-08-06.fit,,0.412,92.7,race,37.6
LELE,UNCLASSIFIED,0.82,2026-03-29-10-45-09.fit,,0.733,164.9,unknown,18.2
LELE,TEST,1.0,2026-03-29-11-37-36.fit,,0.957,215.3,mixed_test,138.1
LELE,TEST,0.7,2026-04-03-08-53-10.fit,,0.825,185.5,mixed_test,366.9
LELE,HIIT,0.94,2026-04-07-18-13-21.fit,,0.852,191.7,hiit_unspecified,102.9
LELE,FREE,0.49,2026-04-08-18-08-47.fit,,0.382,85.9,race,25.0
LELE,FREE,0.7,2026-04-10-08-33-45.fit,,0.767,172.5,race,249.0
LELE,TEST,0.94,2026-04-12-07-28-56.fit,,0.917,206.3,mixed_test,364.1
LELE,TEST,0.88,2026-04-18-10-48-44.fit,,0.669,150.4,sprint_set,18.4
LELE,TEST,1.0,2026-04-18-11-32-02.fit,,0.855,192.3,mixed_test,121.7
davide,UNCLASSIFIED,0.85,22326086752_ACTIVITY.fit,1959,0.724,183.1,unknown,287.8
davide,,0.7,22336468745_ACTIVITY.fit,1201,,,,
davide,STEADY,1.0,22362511484_ACTIVITY.fit,670,0.692,174.9,endurance_z2,90.5
davide,,0.7,22381194596_ACTIVITY.fit,1827,,,,
davide,STEADY,1.0,22390108632_ACTIVITY.fit,464,0.507,128.1,endurance_z2,33.9
davide,,0.64,22403844279_ACTIVITY.fit,1940,,,,
davide,STEADY,1.0,22418935038_ACTIVITY.fit,534,0.522,132.0,endurance_z2,41.3
davide,FREE,0.7,22438621267_ACTIVITY.fit,2316,0.787,198.9,race,400.7
davide,UNCLASSIFIED,1.0,22468344517_ACTIVITY.fit,687,0.724,183.1,unknown,103.0
davide,FREE,0.76,22486859451_ACTIVITY.fit,1907,0.757,191.3,race,305.0
davide,,0.7,22496446769_ACTIVITY.fit,1048,,,,
davide,HIIT,1.0,22550239133_ACTIVITY.fit,685,0.873,220.7,hiit_unspecified,147.3
davide,FREE,0.7,22569805903_ACTIVITY.fit,2070,0.677,171.3,race,270.2
davide,,0.76,22578415422_ACTIVITY.fit,692,,,,
davide,HIIT,1.0,22607321330_ACTIVITY.fit,546,0.921,233.0,hiit_unspecified,131.5
davide,UNCLASSIFIED,0.88,22633117108_ACTIVITY.fit,741,0.753,190.4,unknown,118.6
davide,,0.64,22654692741_ACTIVITY.fit,3162,,,,
davide,STEADY,1.0,22667049017_ACTIVITY.fit,605,0.554,140.0,endurance_z2,52.5
davide,,0.76,22692223292_ACTIVITY.fit,1083,,,,
omar,HIIT,1.0,1b8b9962-8fee-4511-a30c-7dcf4281b975.fit,,0.848,231.7,hiit_unspecified,50.4
omar,HIIT,1.0,5f8840fb-6512-4353-ac14-5c4b1e56a2ee.fit,,0.843,230.3,hiit_unspecified,49.8
omar,UNCLASSIFIED,1.0,78ec3b13-d1c4-448a-86d6-da34a0942f89.fit,,0.723,197.5,unknown,61.9
omar,UNCLASSIFIED,1.0,7b64d314-991a-456f-a242-2a220da736ca.fit,,0.762,208.2,unknown,50.0
omar,TEST,1.0,9072342d-95c9-47ea-864b-0e0880a70039.fit,,0.839,229.1,sprint_set,49.3
omar,STEADY,0.94,Pedalata_mattutina_1_331_Wh.fit,289,0.653,178.3,endurance_z2,72.5
omar,STEADY,0.7,Pedalata_mattutina_1_503_Wh.fit,369,0.671,183.2,endurance_z2,115.8
omar,TEST,0.94,Pedalata_mattutina_1_518_Wh.fit,310,0.705,192.5,sprint_set,109.8
omar,FREE,0.67,Pedalata_mattutina_1_753_Wh.fit,670,0.68,185.7,race,174.5
omar,TEST,0.58,Pedalata_mattutina_1_978_Wh.fit,442,0.567,154.8,sprint_set,89.2
omar,FREE,0.88,Pedalata_mattutina_3_869_Wh.fit,1829,0.767,209.4,race,300.8
omar,FREE,0.88,Pedalata_mattutina_4_403_Wh.fit,897,0.776,212.1,race,345.2
omar,TEST,0.82,Pedalata_mattutina_4_491_Wh.fit,2293,0.619,169.0,sprint_set,247.8
omar,FREE,0.76,Pedalata_mattutina_4_846_Wh.fit,1027,0.805,219.9,race,428.5
omar,UNCLASSIFIED,0.88,Pedalata_mattutina_5_477_Wh.fit,1096,0.809,220.8,unknown,470.8
omar,STEADY,1.0,Pedalata_pomeridiana_1_214_Wh.fit,217,0.638,174.3,endurance_z2,50.7
omar,STEADY,0.79,Pedalata_pomeridiana_1_468_Wh.fit,94,0.77,210.2,tempo,108.6
omar,UNCLASSIFIED,0.94,Pedalata_pomeridiana_1_471_Wh.fit,326,0.722,197.1,unknown,95.6
omar,UNCLASSIFIED,1.0,Pedalata_pomeridiana_873_Wh.fit,173,0.713,194.8,unknown,55.7
omar,STEADY,1.0,Pedalata_pomeridiana_tra_la_1a_e_la_2a_mano_di_colore_1_575_Wh.fit,699,0.675,184.4,endurance_z2,89.9
omar,STEADY,1.0,Pedalata_serale_1_235_Wh.fit,239,0.772,210.9,tempo,91.0
omar,STEADY,1.0,Pedalata_serale_1_282_Wh.fit,560,0.693,189.3,endurance_z2,76.3
omar,STEADY,1.0,Pedalata_serale_1_350_Wh.fit,261,0.783,213.9,tempo,103.0
omar,TEST,0.82,Pedalata_serale_837_Wh.fit,240,0.601,164.1,sprint_set,45.5
omar,FREE,0.88,San_Lorenzo_Pian_dele_Femene_Grotte_Cansiglio_3_736_Wh.fit,773,0.805,219.8,race,315.4
omar,STEADY,1.0,Sweet_spot_4x15_Z3_8_1_599_Wh.fit,283,0.856,233.7,sweet_spot,145.4
omar,FREE,0.7,Valle_del_Mis_Cereda_Rolle_Valles_Agordo_Valle_del_Mis_5_344_Wh.fit,1266,0.756,206.4,race,447.8
omar,HIIT,1.0,c8e17097-856a-413d-8a11-51218784d0b8.fit,,0.917,250.5,hiit_unspecified,88.4
omar,HIIT,1.0,eb8e0409-90b4-4c69-9ad9-68c67dfa6435.fit,,0.938,256.3,hiit_unspecified,32.7
